*******************************************************************************
JPL/HORIZONS           Shoemaker-Levy 9 (D/1993 F2-A)      2023-May-07 20:05:12
Rec #:90002133 (+COV)           Soln.date: -                  n.a. (span: n.a.)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2449480.5 ! 1994-May-08.0000000 (TDB)    RMSW= n.a.
   EC= .2162091669027183   QR= 5.380563100306042   TP= 2449435.6031964924
   OM= 220.5376550079234   W= 354.8935191875186    IN= 6.003293873510072
   A= 6.864794627724644    MA= 2.460243947958167   ADIST= 8.349026155143246
   PER= 17.986618608735    N= .054797753           ANGMOM= .044004738
   DAN= 5.38436            DDN= 8.3399             L= 215.4590319
   B= -.5333655            MOID= 4.37419987        TP= 1994-Mar-24.1031964924
 
Comet physical (GM= km^3/s^2; RAD= km):
   GM= n.a.                RAD= n.a.
   M1=  n.a.     M2=  n.a.     k1= n.a.    k2= n.a.     PHCOF= n.a.
 
COMET comments 
1: soln ref.= JPL#A38
2: Valid 1992-Jul-15_00:00 to 1994-Jul-16_20:11 UTC ERT
*******************************************************************************

  
  

*******************************************************************************
Ephemeris / WWW_USER Sun May  7 20:05:12 2023 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Shoemaker-Levy 9 (D/1993 F2-A)  {source: DASTCOM}
Center body name: Jupiter (599)                   {source: jup365_merged}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1994-Jul-10 00:00:00.0000 TDB
Stop  time      : A.D. 1994-Jul-16 20:11:00.0000 TDB
Step-size       : 15 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {W-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {W-lon(deg),Dxy(km),Dz(km)}
Center radii    : 71492.0, 71492.0, 66854.0 km    {Equator_a, b, pole_c}
Small perturbers: Yes                             {source: SB441-N16}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 1 (position only)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2449480.5 ! 1994-May-08.0000000 (TDB)    RMSW= n.a.                  
   EC= .2162091669027183   QR= 5.380563100306042   TP= 2449435.6031964924      
   OM= 220.5376550079234   W= 354.8935191875186    IN= 6.003293873510072       
  Equivalent ICRF heliocentric cartesian coordinates (au, au/d):
   X=-4.162628049179208E+00  Y=-3.126449771958254E+00  Z=-1.368305388731505E+00
  VX= 5.076590319177418E-03 VY=-6.167189228704376E-03 VZ=-1.742349389985143E-03
Comet physical (GM= km^3/s^2; RAD= km):                                        
   GM= n.a.                RAD= n.a.                                           
   M1=  n.a.     M2=  n.a.     k1= n.a.    k2= n.a.     PHCOF= n.a.            
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2449543.500000000, A.D. 1994-Jul-10 00:00:00.0000, -9.534630903120041E+05,  3.368989531964055E+06, -4.460218145628285E+06,
2449543.510416667, A.D. 1994-Jul-10 00:15:00.0000, -9.523674175218344E+05,  3.365269122687368E+06, -4.456044376579712E+06,
2449543.520833333, A.D. 1994-Jul-10 00:30:00.0000, -9.512712098271847E+05,  3.361546844002137E+06, -4.451868089499200E+06,
2449543.531250000, A.D. 1994-Jul-10 00:45:00.0000, -9.501744672485590E+05,  3.357822692342405E+06, -4.447689279180110E+06,
2449543.541666667, A.D. 1994-Jul-10 01:00:00.0000, -9.490771898071766E+05,  3.354096664094337E+06, -4.443507940398125E+06,
2449543.552083333, A.D. 1994-Jul-10 01:15:00.0000, -9.479793775236607E+05,  3.350368755595153E+06, -4.439324067910706E+06,
2449543.562500000, A.D. 1994-Jul-10 01:30:00.0000, -9.468810304169655E+05,  3.346638963133624E+06, -4.435137656457745E+06,
2449543.572916667, A.D. 1994-Jul-10 01:45:00.0000, -9.457821485033035E+05,  3.342907282949415E+06, -4.430948700760834E+06,
2449543.583333333, A.D. 1994-Jul-10 02:00:00.0000, -9.446827317943573E+05,  3.339173711233404E+06, -4.426757195523434E+06,
2449543.593750000, A.D. 1994-Jul-10 02:15:00.0000, -9.435827802963257E+05,  3.335438244127427E+06, -4.422563135430702E+06,
2449543.604166667, A.D. 1994-Jul-10 02:30:00.0000, -9.424822940078974E+05,  3.331700877724060E+06, -4.418366515149262E+06,
2449543.614583333, A.D. 1994-Jul-10 02:45:00.0000, -9.413812729203701E+05,  3.327961608067155E+06, -4.414167329327145E+06,
2449543.625000000, A.D. 1994-Jul-10 03:00:00.0000, -9.402797170149088E+05,  3.324220431151248E+06, -4.409965572593831E+06,
2449543.635416667, A.D. 1994-Jul-10 03:15:00.0000, -9.391776262621880E+05,  3.320477342922447E+06, -4.405761239559816E+06,
2449543.645833333, A.D. 1994-Jul-10 03:30:00.0000, -9.380750006200075E+05,  3.316732339277825E+06, -4.401554324816708E+06,
2449543.656250000, A.D. 1994-Jul-10 03:45:00.0000, -9.369718400335312E+05,  3.312985416066002E+06, -4.397344822936896E+06,
2449543.666666667, A.D. 1994-Jul-10 04:00:00.0000, -9.358681444327831E+05,  3.309236569087708E+06, -4.393132728473756E+06,
2449543.677083333, A.D. 1994-Jul-10 04:15:00.0000, -9.347639137320518E+05,  3.305485794095395E+06, -4.388918035961071E+06,
2449543.687500000, A.D. 1994-Jul-10 04:30:00.0000, -9.336591478277445E+05,  3.301733086794009E+06, -4.384700739913322E+06,
2449543.697916667, A.D. 1994-Jul-10 04:45:00.0000, -9.325538465980291E+05,  3.297978442841437E+06, -4.380480834825109E+06,
2449543.708333333, A.D. 1994-Jul-10 05:00:00.0000, -9.314480099020004E+05,  3.294221857848579E+06, -4.376258315171310E+06,
