*******************************************************************************
JPL/HORIZONS           Shoemaker-Levy 9 (D/1993 F2-L)      2023-May-07 18:35:38
Rec #:90002142 (+COV)           Soln.date: -                  n.a. (span: n.a.)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2449480.5 ! 1994-May-08.0000000 (TDB)    RMSW= n.a.
   EC= .2093610773818528   QR= 5.379631707592801   TP= 2449440.3485368169
   OM= 220.8375140775926   W= 354.9845262803184    IN= 5.863130922736858
   A= 6.804157439882311    MA= 2.229687088766088   ADIST= 8.22868317217182
   PER= 17.748830151291    N= .055531901           ANGMOM= .043876877
   DAN= 5.3832             DDN= 8.22035            L= 215.8481447
   B= -.5116956            MOID= 4.37315989        TP= 1994-Mar-28.8485368169
 
Comet physical (GM= km^3/s^2; RAD= km):
   GM= n.a.                RAD= n.a.
   M1=  n.a.     M2=  n.a.     k1= n.a.    k2= n.a.     PHCOF= n.a.
 
COMET comments 
1: soln ref.= JPL#L49
2: Valid 1992-Jul-15_00:00 to 1994-Jul-19_22:17 UTC ERT
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Sun May  7 18:35:38 2023 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Shoemaker-Levy 9 (D/1993 F2-L)  {source: DASTCOM}
Center body name: Jupiter (599)                   {source: jup365_merged}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1993-Mar-15 00:00:00.0000 TDB
Stop  time      : A.D. 1994-Jul-19 22:17:00.0000 TDB
Step-size       : 360 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {W-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {W-lon(deg),Dxy(km),Dz(km)}
Center radii    : 71492.0, 71492.0, 66854.0 km    {Equator_a, b, pole_c}
Small perturbers: Yes                             {source: SB441-N16}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 1 (position only)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2449480.5 ! 1994-May-08.0000000 (TDB)    RMSW= n.a.                  
   EC= .2093610773818528   QR= 5.379631707592801   TP= 2449440.3485368169      
   OM= 220.8375140775926   W= 354.9845262803184    IN= 5.863130922736858       
  Equivalent ICRF heliocentric cartesian coordinates (au, au/d):
   X=-4.163276515617844E+00  Y=-3.122487124394685E+00  Z=-1.369744861123780E+00
  VX= 5.070950784554308E-03 VY=-6.139528242904128E-03 VZ=-1.754578999417901E-03
Comet physical (GM= km^3/s^2; RAD= km):                                        
   GM= n.a.                RAD= n.a.                                           
   M1=  n.a.     M2=  n.a.     k1= n.a.    k2= n.a.     PHCOF= n.a.            
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2449061.500000000, A.D. 1993-Mar-15 00:00:00.0000, -7.195254243213773E+06,  3.332806963833114E+07, -3.081350241278121E+07,
2449061.750000000, A.D. 1993-Mar-15 06:00:00.0000, -7.199289670404553E+06,  3.333711199748070E+07, -3.082485189942305E+07,
2449062.000000000, A.D. 1993-Mar-15 12:00:00.0000, -7.203302748462558E+06,  3.334611889243102E+07, -3.083617925834640E+07,
2449062.250000000, A.D. 1993-Mar-15 18:00:00.0000, -7.207290425792575E+06,  3.335510446874975E+07, -3.084748394432336E+07,
2449062.500000000, A.D. 1993-Mar-16 00:00:00.0000, -7.211260555122137E+06,  3.336408022820479E+07, -3.085876567386303E+07,
2449062.750000000, A.D. 1993-Mar-16 06:00:00.0000, -7.215225989705324E+06,  3.337304808934321E+07, -3.087002458199761E+07,
2449063.000000000, A.D. 1993-Mar-16 12:00:00.0000, -7.219195680650115E+06,  3.338200024461393E+07, -3.088126109233846E+07,
2449063.250000000, A.D. 1993-Mar-16 18:00:00.0000, -7.223168762225389E+06,  3.339092584431493E+07, -3.089247559003496E+07,
2449063.500000000, A.D. 1993-Mar-17 00:00:00.0000, -7.227136097206116E+06,  3.339981998932336E+07, -3.090366812570596E+07,
2449063.750000000, A.D. 1993-Mar-17 06:00:00.0000, -7.231088552089214E+06,  3.340868795045226E+07, -3.091483839006250E+07,
2449064.000000000, A.D. 1993-Mar-17 12:00:00.0000, -7.235025253802896E+06,  3.341754100999063E+07, -3.092598598472465E+07,
2449064.250000000, A.D. 1993-Mar-17 18:00:00.0000, -7.238955251133680E+06,  3.342638754556987E+07, -3.093711076164539E+07,
2449064.500000000, A.D. 1993-Mar-18 00:00:00.0000, -7.242891758486152E+06,  3.343522623247596E+07, -3.094821297563501E+07,
2449064.750000000, A.D. 1993-Mar-18 06:00:00.0000, -7.246843233224750E+06,  3.344404592048375E+07, -3.095929315338892E+07,
2449065.000000000, A.D. 1993-Mar-18 12:00:00.0000, -7.250807208801389E+06,  3.345283247822544E+07, -3.097035175861663E+07,
2449065.250000000, A.D. 1993-Mar-18 18:00:00.0000, -7.254771640298128E+06,  3.346157830327609E+07, -3.098138887742745E+07,
2449065.500000000, A.D. 1993-Mar-19 00:00:00.0000, -7.258723392219543E+06,  3.347028734618317E+07, -3.099240417127046E+07,
2449065.750000000, A.D. 1993-Mar-19 06:00:00.0000, -7.262657379341722E+06,  3.347897152670101E+07, -3.100339714433910E+07,
2449066.000000000, A.D. 1993-Mar-19 12:00:00.0000, -7.266579347362757E+06,  3.348764168788857E+07, -3.101436750731037E+07,
2449066.250000000, A.D. 1993-Mar-19 18:00:00.0000, -7.270500952124238E+06,  3.349629998335401E+07, -3.102531537284865E+07,
2449066.500000000, A.D. 1993-Mar-20 00:00:00.0000, -7.274430991449356E+06,  3.350493863194351E+07, -3.103624116659491E+07,
