*******************************************************************************
JPL/HORIZONS           Shoemaker-Levy 9 (D/1993 F2-L)      2023-May-07 20:19:54
Rec #:90002142 (+COV)           Soln.date: -                  n.a. (span: n.a.)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2449480.5 ! 1994-May-08.0000000 (TDB)    RMSW= n.a.
   EC= .2093610773818528   QR= 5.379631707592801   TP= 2449440.3485368169
   OM= 220.8375140775926   W= 354.9845262803184    IN= 5.863130922736858
   A= 6.804157439882311    MA= 2.229687088766088   ADIST= 8.22868317217182
   PER= 17.748830151291    N= .055531901           ANGMOM= .043876877
   DAN= 5.3832             DDN= 8.22035            L= 215.8481447
   B= -.5116956            MOID= 4.37315989        TP= 1994-Mar-28.8485368169
 
Comet physical (GM= km^3/s^2; RAD= km):
   GM= n.a.                RAD= n.a.
   M1=  n.a.     M2=  n.a.     k1= n.a.    k2= n.a.     PHCOF= n.a.
 
COMET comments 
1: soln ref.= JPL#L49
2: Valid 1992-Jul-15_00:00 to 1994-Jul-19_22:17 UTC ERT
*******************************************************************************

  
  

*******************************************************************************
Ephemeris / WWW_USER Sun May  7 20:19:55 2023 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Shoemaker-Levy 9 (D/1993 F2-L)  {source: DASTCOM}
Center body name: Jupiter (599)                   {source: jup365_merged}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1994-Jul-16 00:00:00.0000 TDB
Stop  time      : A.D. 1994-Jul-19 22:17:00.0000 TDB
Step-size       : 5 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {W-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {W-lon(deg),Dxy(km),Dz(km)}
Center radii    : 71492.0, 71492.0, 66854.0 km    {Equator_a, b, pole_c}
Small perturbers: Yes                             {source: SB441-N16}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 1 (position only)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2449480.5 ! 1994-May-08.0000000 (TDB)    RMSW= n.a.                  
   EC= .2093610773818528   QR= 5.379631707592801   TP= 2449440.3485368169      
   OM= 220.8375140775926   W= 354.9845262803184    IN= 5.863130922736858       
  Equivalent ICRF heliocentric cartesian coordinates (au, au/d):
   X=-4.163276515617844E+00  Y=-3.122487124394685E+00  Z=-1.369744861123780E+00
  VX= 5.070950784554308E-03 VY=-6.139528242904128E-03 VZ=-1.754578999417901E-03
Comet physical (GM= km^3/s^2; RAD= km):                                        
   GM= n.a.                RAD= n.a.                                           
   M1=  n.a.     M2=  n.a.     k1= n.a.    k2= n.a.     PHCOF= n.a.            
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2449549.500000000, A.D. 1994-Jul-16 00:00:00.0000, -5.969844861192703E+05,  2.249906058341241E+06, -3.166034355075936E+06,
2449549.503472222, A.D. 1994-Jul-16 00:05:00.0000, -5.965555815212727E+05,  2.248416263892730E+06, -3.164306029587235E+06,
2449549.506944444, A.D. 1994-Jul-16 00:10:00.0000, -5.961265663211346E+05,  2.246926045801553E+06, -3.162577108383267E+06,
2449549.510416667, A.D. 1994-Jul-16 00:15:00.0000, -5.956974403843880E+05,  2.245435403573268E+06, -3.160847590737864E+06,
2449549.513888889, A.D. 1994-Jul-16 00:20:00.0000, -5.952682035770416E+05,  2.243944336712562E+06, -3.159117475923415E+06,
2449549.517361111, A.D. 1994-Jul-16 00:25:00.0000, -5.948388557636738E+05,  2.242452844723640E+06, -3.157386763210731E+06,
2449549.520833333, A.D. 1994-Jul-16 00:30:00.0000, -5.944093968085051E+05,  2.240960927109902E+06, -3.155655451868879E+06,
2449549.524305556, A.D. 1994-Jul-16 00:35:00.0000, -5.939798265755177E+05,  2.239468583374309E+06, -3.153923541165696E+06,
2449549.527777778, A.D. 1994-Jul-16 00:40:00.0000, -5.935501449276209E+05,  2.237975813018901E+06, -3.152191030367091E+06,
2449549.531250000, A.D. 1994-Jul-16 00:45:00.0000, -5.931203517276049E+05,  2.236482615544918E+06, -3.150457918737527E+06,
2449549.534722222, A.D. 1994-Jul-16 00:50:00.0000, -5.926904468374252E+05,  2.234988990453642E+06, -3.148724205540018E+06,
2449549.538194444, A.D. 1994-Jul-16 00:55:00.0000, -5.922604301184416E+05,  2.233494937244999E+06, -3.146989890035759E+06,
2449549.541666667, A.D. 1994-Jul-16 01:00:00.0000, -5.918303014314175E+05,  2.232000455418452E+06, -3.145254971484475E+06,
2449549.545138889, A.D. 1994-Jul-16 01:05:00.0000, -5.914000606369972E+05,  2.230505544472505E+06, -3.143519449144049E+06,
2449549.548611111, A.D. 1994-Jul-16 01:10:00.0000, -5.909697075945139E+05,  2.229010203905706E+06, -3.141783322271210E+06,
2449549.552083333, A.D. 1994-Jul-16 01:15:00.0000, -5.905392421635389E+05,  2.227514433215359E+06, -3.140046590120625E+06,
2449549.555555556, A.D. 1994-Jul-16 01:20:00.0000, -5.901086642028093E+05,  2.226018231898425E+06, -3.138309251945639E+06,
2449549.559027778, A.D. 1994-Jul-16 01:25:00.0000, -5.896779735702276E+05,  2.224521599450748E+06, -3.136571306997688E+06,
2449549.562500000, A.D. 1994-Jul-16 01:30:00.0000, -5.892471701229811E+05,  2.223024535368344E+06, -3.134832754526913E+06,
2449549.565972222, A.D. 1994-Jul-16 01:35:00.0000, -5.888162537188530E+05,  2.221527039145366E+06, -3.133093593781449E+06,
2449549.569444444, A.D. 1994-Jul-16 01:40:00.0000, -5.883852242136002E+05,  2.220029110276739E+06, -3.131353824008109E+06,
