*******************************************************************************
JPL/HORIZONS           Shoemaker-Levy 9 (D/1993 F2-N)      2023-May-07 18:36:25
Rec #:90002143 (+COV)           Soln.date: -                  n.a. (span: n.a.)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2449480.5 ! 1994-May-08.0000000 (TDB)    RMSW= n.a.
   EC= .2082768876019644   QR= 5.379536292617222   TP= 2449441.1344815274
   OM= 220.8862695672824   W= 354.9999828227799    IN= 5.840457677456903
   A= 6.794719275433608    MA= 2.19059842919538    ADIST= 8.209902258249993
   PER= 17.711913396814    N= .055647646           ANGMOM= .043856816
   DAN= 5.38307            DDN= 8.201689999999999  L= 215.9120764
   B= -.5081568            MOID= 4.3730402         TP= 1994-Mar-29.6344815274
 
Comet physical (GM= km^3/s^2; RAD= km):
   GM= n.a.                RAD= n.a.
   M1=  n.a.     M2=  n.a.     k1= n.a.    k2= n.a.     PHCOF= n.a.
 
COMET comments 
1: soln ref.= JPL#N36
2: Valid 1992-Jul-15_00:00 to 1994-Jul-20_10:31 UTC ERT
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Sun May  7 18:36:26 2023 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Shoemaker-Levy 9 (D/1993 F2-N)  {source: DASTCOM}
Center body name: Jupiter (599)                   {source: jup365_merged}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1993-Mar-15 00:00:00.0000 TDB
Stop  time      : A.D. 1994-Jul-20 10:31:00.0000 TDB
Step-size       : 360 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {W-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {W-lon(deg),Dxy(km),Dz(km)}
Center radii    : 71492.0, 71492.0, 66854.0 km    {Equator_a, b, pole_c}
Small perturbers: Yes                             {source: SB441-N16}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 1 (position only)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2449480.5 ! 1994-May-08.0000000 (TDB)    RMSW= n.a.                  
   EC= .2082768876019644   QR= 5.379536292617222   TP= 2449441.1344815274      
   OM= 220.8862695672824   W= 354.9999828227799    IN= 5.840457677456903       
  Equivalent ICRF heliocentric cartesian coordinates (au, au/d):
   X=-4.163454998609240E+00  Y=-3.121854651198700E+00  Z=-1.369973053771807E+00
  VX= 5.069981381991761E-03 VY=-6.135121097034884E-03 VZ=-1.756574830154064E-03
Comet physical (GM= km^3/s^2; RAD= km):                                        
   GM= n.a.                RAD= n.a.                                           
   M1=  n.a.     M2=  n.a.     k1= n.a.    k2= n.a.     PHCOF= n.a.            
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2449061.500000000, A.D. 1993-Mar-15 00:00:00.0000, -7.190905066382766E+06,  3.333920162874212E+07, -3.082012594606641E+07,
2449061.750000000, A.D. 1993-Mar-15 06:00:00.0000, -7.194954049936891E+06,  3.334826052975901E+07, -3.083148901014513E+07,
2449062.000000000, A.D. 1993-Mar-15 12:00:00.0000, -7.198980689038873E+06,  3.335728397442976E+07, -3.084282995619762E+07,
2449062.250000000, A.D. 1993-Mar-15 18:00:00.0000, -7.202981932088137E+06,  3.336628610833128E+07, -3.085414823900472E+07,
2449062.500000000, A.D. 1993-Mar-16 00:00:00.0000, -7.206965631806970E+06,  3.337527843324059E+07, -3.086544357508433E+07,
2449062.750000000, A.D. 1993-Mar-16 06:00:00.0000, -7.210944641443968E+06,  3.338426286771392E+07, -3.087671609947730E+07,
2449063.000000000, A.D. 1993-Mar-16 12:00:00.0000, -7.214927912102103E+06,  3.339323160420938E+07, -3.088796623580381E+07,
2449063.250000000, A.D. 1993-Mar-16 18:00:00.0000, -7.218914578044772E+06,  3.340217379303414E+07, -3.089919436922197E+07,
2449063.500000000, A.D. 1993-Mar-17 00:00:00.0000, -7.222895502041817E+06,  3.341108453507445E+07, -3.091040055035940E+07,
2449063.750000000, A.D. 1993-Mar-17 06:00:00.0000, -7.226861550585032E+06,  3.341996910115260E+07, -3.092158446993594E+07,
2449064.000000000, A.D. 1993-Mar-17 12:00:00.0000, -7.230811850597382E+06,  3.342883877356669E+07, -3.093274572958042E+07,
2449064.250000000, A.D. 1993-Mar-17 18:00:00.0000, -7.234755450860143E+06,  3.343770192995734E+07, -3.094388418125464E+07,
2449064.500000000, A.D. 1993-Mar-18 00:00:00.0000, -7.238705565773010E+06,  3.344655724561968E+07, -3.095500007977767E+07,
2449064.750000000, A.D. 1993-Mar-18 06:00:00.0000, -7.242670652695060E+06,  3.345539357033777E+07, -3.096609395185374E+07,
2449065.000000000, A.D. 1993-Mar-18 12:00:00.0000, -7.246648245073318E+06,  3.346419677275300E+07, -3.097716626120120E+07,
2449065.250000000, A.D. 1993-Mar-18 18:00:00.0000, -7.250626297984719E+06,  3.347295925044952E+07, -3.098821709393814E+07,
2449065.500000000, A.D. 1993-Mar-19 00:00:00.0000, -7.254591675928593E+06,  3.348168495398406E+07, -3.099924611152251E+07,
2449065.750000000, A.D. 1993-Mar-19 06:00:00.0000, -7.258539293676376E+06,  3.349038580312013E+07, -3.101025281815661E+07,
2449066.000000000, A.D. 1993-Mar-19 12:00:00.0000, -7.262474896920800E+06,  3.349907264092585E+07, -3.102123692452626E+07,
2449066.250000000, A.D. 1993-Mar-19 18:00:00.0000, -7.266410141498685E+06,  3.350774762101858E+07, -3.103219854330473E+07,
2449066.500000000, A.D. 1993-Mar-20 00:00:00.0000, -7.270353825228453E+06,  3.351640296225369E+07, -3.104313810014182E+07,
