*******************************************************************************
JPL/HORIZONS           Shoemaker-Levy 9 (D/1993 F2-W)      2023-May-07 20:13:42
Rec #:90002151 (+COV)           Soln.date: -                  n.a. (span: n.a.)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2449480.5 ! 1994-May-08.0000000 (TDB)    RMSW= n.a.
   EC= .2042822622598208   QR= 5.378907764694635   TP= 2449444.1398832458
   OM= 221.0772132764814   W= 355.0561377415564    IN= 5.758369877050352
   A= 6.759818852311391    MA= 2.039044744576161   ADIST= 8.140729939928148
   PER= 17.575625466122    N= .056079158           ANGMOM= .043781701
   DAN= 5.3823             DDN= 8.132960000000001  L= 216.1581757
   B= -.4954254            MOID= 4.3723402         TP= 1994-Apr-01.6398832458
 
Comet physical (GM= km^3/s^2; RAD= km):
   GM= n.a.                RAD= n.a.
   M1=  n.a.     M2=  n.a.     k1= n.a.    k2= n.a.     PHCOF= n.a.
 
COMET comments 
1: soln ref.= JPL#W52
2: Valid 1992-Jul-15_00:00 to 1994-Jul-22_08:05 UTC ERT
*******************************************************************************

  
  
  

*******************************************************************************
Ephemeris / WWW_USER Sun May  7 20:13:42 2023 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Shoemaker-Levy 9 (D/1993 F2-W)  {source: DASTCOM}
Center body name: Jupiter (599)                   {source: jup365_merged}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1994-Jul-16 00:00:00.0000 TDB
Stop  time      : A.D. 1994-Jul-22 08:05:00.0000 TDB
Step-size       : 5 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {W-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {W-lon(deg),Dxy(km),Dz(km)}
Center radii    : 71492.0, 71492.0, 66854.0 km    {Equator_a, b, pole_c}
Small perturbers: Yes                             {source: SB441-N16}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 1 (position only)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2449480.5 ! 1994-May-08.0000000 (TDB)    RMSW= n.a.                  
   EC= .2042822622598208   QR= 5.378907764694635   TP= 2449444.1398832458      
   OM= 221.0772132764814   W= 355.0561377415564    IN= 5.758369877050352       
  Equivalent ICRF heliocentric cartesian coordinates (au, au/d):
   X=-4.163800340285838E+00  Y=-3.119461368160859E+00  Z=-1.370850383290140E+00
  VX= 5.066753795416017E-03 VY=-6.118899420140993E-03 VZ=-1.763674944993409E-03
Comet physical (GM= km^3/s^2; RAD= km):                                        
   GM= n.a.                RAD= n.a.                                           
   M1=  n.a.     M2=  n.a.     k1= n.a.    k2= n.a.     PHCOF= n.a.            
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2449549.500000000, A.D. 1994-Jul-16 00:00:00.0000, -8.533621824932098E+05,  3.211101211362869E+06, -4.248576210664534E+06,
2449549.503472222, A.D. 1994-Jul-16 00:05:00.0000, -8.529936476659775E+05,  3.209826023175836E+06, -4.247143240205088E+06,
2449549.506944444, A.D. 1994-Jul-16 00:10:00.0000, -8.526250524334908E+05,  3.208550601084016E+06, -4.245709960661230E+06,
2449549.510416667, A.D. 1994-Jul-16 00:15:00.0000, -8.522563967386484E+05,  3.207274944899860E+06, -4.244276371802940E+06,
2449549.513888889, A.D. 1994-Jul-16 00:20:00.0000, -8.518876805247068E+05,  3.205999054435744E+06, -4.242842473400364E+06,
2449549.517361111, A.D. 1994-Jul-16 00:25:00.0000, -8.515189037338495E+05,  3.204722929504330E+06, -4.241408265222990E+06,
2449549.520833333, A.D. 1994-Jul-16 00:30:00.0000, -8.511500663080215E+05,  3.203446569917991E+06, -4.239973747039921E+06,
2449549.524305556, A.D. 1994-Jul-16 00:35:00.0000, -8.507811681890488E+05,  3.202169975489653E+06, -4.238538918620337E+06,
2449549.527777778, A.D. 1994-Jul-16 00:40:00.0000, -8.504122093180418E+05,  3.200893146031871E+06, -4.237103779732773E+06,
2449549.531250000, A.D. 1994-Jul-16 00:45:00.0000, -8.500431896356344E+05,  3.199616081357292E+06, -4.235668330145408E+06,
2449549.534722222, A.D. 1994-Jul-16 00:50:00.0000, -8.496741090825796E+05,  3.198338781279066E+06, -4.234232569626451E+06,
2449549.538194444, A.D. 1994-Jul-16 00:55:00.0000, -8.493049675986767E+05,  3.197061245609999E+06, -4.232796497943403E+06,
2449549.541666667, A.D. 1994-Jul-16 01:00:00.0000, -8.489357651236057E+05,  3.195783474163233E+06, -4.231360114863755E+06,
2449549.545138889, A.D. 1994-Jul-16 01:05:00.0000, -8.485665015966892E+05,  3.194505466751483E+06, -4.229923420154322E+06,
2449549.548611111, A.D. 1994-Jul-16 01:10:00.0000, -8.481971769566536E+05,  3.193227223188459E+06, -4.228486413582023E+06,
2449549.552083333, A.D. 1994-Jul-16 01:15:00.0000, -8.478277911423445E+05,  3.191948743287071E+06, -4.227049094913078E+06,
2449549.555555556, A.D. 1994-Jul-16 01:20:00.0000, -8.474583440918922E+05,  3.190670026860972E+06, -4.225611463913638E+06,
2449549.559027778, A.D. 1994-Jul-16 01:25:00.0000, -8.470888357428312E+05,  3.189391073723348E+06, -4.224173520349291E+06,
2449549.562500000, A.D. 1994-Jul-16 01:30:00.0000, -8.467192660325766E+05,  3.188111883688111E+06, -4.222735263985586E+06,
2449549.565972222, A.D. 1994-Jul-16 01:35:00.0000, -8.463496348984241E+05,  3.186832456568639E+06, -4.221296694587515E+06,
2449549.569444444, A.D. 1994-Jul-16 01:40:00.0000, -8.459799422768354E+05,  3.185552792179047E+06, -4.219857811919866E+06,
